Year,Manufacturer,Fuel Type,Number of vehicles,OBFCM Fuel consumption (l/100 km),WLTP Fuel consumption (l/100 km),absolute gap Fuel consumption (l/100 km),percentage gap Fuel consumption (%),OBFCM CO2 emissions (g/km),WLTP CO2 emissions (g/km),absolute gap CO2 emissions (g/km),percentage gap CO2 emissions (%),OBFCM Fuel consumption weighted (l/100 km),WLTP Fuel consumption weighted (l/100 km),absolute gap Fuel consumption weighted (l/100 km),percentage gap Fuel consumption weighted (%),OBFCM CO2 emissions weighted (g/km),WLTP CO2 emissions weighted (g/km),absolute gap CO2 emissions weighted (g/km),percentage gap CO2 emissions weighted (%)
2021,ALFA ROMEO,DIESEL,6558,7.37,5.84,1.53,26.28,194.01,153.64,40.37,26.28,7.31,5.84,1.47,25.17,192.3,153.62,38.67,25.17
2021,FERRARI,PETROL/ELECTRIC,185,20.49,6.87,13.62,198.1,466.82,156.59,310.22,198.1,19.23,6.86,12.36,180.07,437.99,156.38,281.6,180.07
2022,GENERAL MOTORS HOLDINGS,PETROL,134,13.54,11.38,2.16,18.93,308.42,259.33,49.09,18.93,13.17,11.15,2.02,18.08,299.91,253.98,45.93,18.08
2021,SEAT,DIESEL,8649,6.61,5.36,1.25,23.4,173.98,140.98,33,23.4,6.55,5.36,1.2,22.32,172.38,140.93,31.45,22.32
2021,TOYOTA MOTOR CORPORATION,PETROL,6339,4.82,4.74,0.08,1.64,109.69,107.92,1.77,1.64,4.79,4.73,0.06,1.3,109.06,107.66,1.4,1.3
2021,KIA,DIESEL,294,7.72,6.65,1.06,16.01,203.03,175.02,28.01,16.01,7.75,6.66,1.09,16.44,203.95,175.15,28.8,16.44
2022,STELLANTIS AUTO,PETROL,1920,6.84,5.62,1.22,21.74,155.72,127.92,27.81,21.74,6.66,5.6,1.06,18.84,151.69,127.65,24.04,18.84
2022,HYUNDAI CZECH,PETROL/ELECTRIC,104,4.54,1.36,3.18,233.68,103.44,31,72.44,233.68,4.65,1.36,3.28,241.35,105.82,31,74.82,241.35
2021,OPEL AUTOMOBILE,PETROL/ELECTRIC,2795,5.31,1.36,3.94,288.94,120.86,31.07,89.78,288.94,5.48,1.36,4.12,301.87,124.82,31.06,93.76,301.87
2021,GENERAL MOTORS HOLDINGS,PETROL,30,14,12.16,1.84,15.13,318.91,277,41.91,15.13,14.83,12.16,2.67,21.99,337.91,277,60.91,21.99
2022,AUTOMOBILES PEUGEOT,PETROL/ELECTRIC,2326,5.29,1.37,3.91,285.53,120.4,31.23,89.17,285.53,5.66,1.37,4.29,312.5,128.99,31.27,97.72,312.5
2022,AUDI HUNGARIA,PETROL,138,8.85,7.43,1.42,19.14,201.71,169.3,32.41,19.14,8.59,7.43,1.16,15.6,195.75,169.33,26.42,15.6
2022,BMW GMBH,PETROL,10,15.49,11.07,4.43,39.99,352.91,252.1,100.81,39.99,14.68,11,3.68,33.46,334.51,250.64,83.86,33.46
2022,ALPINE,PETROL,120,10.38,6.79,3.6,52.99,236.55,154.62,81.93,52.99,10.33,6.78,3.55,52.34,235.38,154.51,80.87,52.34
2021,AUDI SPORT,PETROL,2553,13.35,11.21,2.14,19.06,304.01,255.34,48.67,19.06,11.95,11.22,0.74,6.59,272.32,255.49,16.83,6.59
2021,HYUNDAI CZECH,PETROL/ELECTRIC,487,5.01,1.36,3.65,268.44,114.22,31,83.22,268.44,5.17,1.36,3.81,279.82,117.74,31,86.74,279.82
2021,FERRARI,PETROL,304,16.24,11.2,5.04,44.97,369.98,255.21,114.77,44.97,15.35,11.2,4.14,36.98,349.58,255.21,94.37,36.98
2021,FIAT GROUP,DIESEL,22581,5.84,4.93,0.91,18.39,153.6,129.75,23.86,18.39,5.71,4.91,0.8,16.3,150.32,129.25,21.07,16.3
2021,OPEL AUTOMOBILE,PETROL,8590,6.88,5.89,0.99,16.76,156.66,134.17,22.49,16.76,6.75,5.85,0.9,15.36,153.72,133.25,20.47,15.36
2021,AUTOMOBILES PEUGEOT,PETROL/ELECTRIC,13596,5.32,1.35,3.97,293.68,121.1,30.76,90.34,293.68,5.52,1.35,4.17,308.8,125.68,30.74,94.94,308.8
2022,MAZDA,PETROL/ELECTRIC,2111,8.02,1.45,6.57,453.66,182.71,33,149.71,453.66,7.83,1.45,6.38,440.26,178.29,33,145.29,440.26
2021,AUDI AG,PETROL/ELECTRIC,1486,6.43,1.68,4.75,282.85,146.45,38.25,108.19,282.85,6.74,1.72,5.01,290.69,153.49,39.29,114.2,290.69
