Year,Manufacturer,Fuel Type,Number of vehicles,OBFCM Fuel consumption (l/100 km),WLTP Fuel consumption (l/100 km),absolute gap Fuel consumption (l/100 km),percentage gap Fuel consumption (%),OBFCM CO2 emissions (g/km),WLTP CO2 emissions (g/km),absolute gap CO2 emissions (g/km),percentage gap CO2 emissions (%),OBFCM Fuel consumption weighted (l/100 km),WLTP Fuel consumption weighted (l/100 km),absolute gap Fuel consumption weighted (l/100 km),percentage gap Fuel consumption weighted (%),OBFCM CO2 emissions weighted (g/km),WLTP CO2 emissions weighted (g/km),absolute gap CO2 emissions weighted (g/km),percentage gap CO2 emissions weighted (%)
2021,ALFA ROMEO,PETROL,1,10.33,8.65,1.68,19.43,235.27,197,38.27,19.43,10.33,8.65,1.68,19.43,235.27,197,38.27,19.43
2022,AUTOMOBILES PEUGEOT,DIESEL,1590,7.67,7.03,0.63,8.99,201.68,185.05,16.63,8.99,7.59,6.98,0.6,8.66,199.66,183.75,15.9,8.66
2022,CHRYSLER,PETROL,9,10.24,8.05,2.19,27.17,233.29,183.44,49.84,27.17,9.28,7.87,1.41,17.91,211.49,179.36,32.13,17.91
2021,CHRYSLER,PETROL/ELECTRIC,12,5.23,1.96,3.28,167.37,119.2,44.58,74.62,167.37,5.22,1.96,3.26,166.72,118.9,44.58,74.32,166.72
2022,DACIA,DIESEL,12,5.53,4.92,0.61,12.4,145.56,129.5,16.06,12.4,5.44,4.91,0.53,10.76,143.1,129.21,13.9,10.76
2022,DACIA,PETROL,16,6.73,5.24,1.49,28.49,153.38,119.38,34.01,28.49,6.82,5.24,1.58,30.18,155.25,119.26,35.99,30.18
2022,FORD MOTOR AUSTRALIA,PETROL,63,17.45,13.83,3.62,26.16,397.42,315,82.42,26.16,16.93,13.83,3.11,22.46,385.76,315,70.76,22.46
2022,FORD WERKE GMBH,PETROL/ELECTRIC,160,7.9,2.42,5.48,226.83,180,55.08,124.93,226.83,7.81,2.28,5.52,241.76,177.84,52.04,125.81,241.76
2022,MAZDA,DIESEL,2,6.94,5.83,1.11,18.94,182.58,153.5,29.08,18.94,6.95,5.84,1.11,18.96,182.89,153.75,29.14,18.96
2021,SEAT,DIESEL,5,6.56,5.27,1.29,24.45,172.49,138.6,33.89,24.45,6.91,5.58,1.32,23.71,181.71,146.89,34.82,23.71
2021,CHRYSLER,DIESEL,231,6.29,5.12,1.17,22.85,165.39,134.62,30.76,22.85,6.17,5.1,1.07,21.06,162.41,134.16,28.26,21.06
2021,FORD MOTOR AUSTRALIA,DIESEL,5,12.69,10.3,2.39,23.22,333.92,271,62.92,23.22,12.47,10.32,2.15,20.79,327.99,271.53,56.46,20.79
2021,FORD WERKE GMBH,DIESEL,743,6.28,5.38,0.91,16.85,165.31,141.47,23.84,16.85,6.07,5.23,0.84,16.04,159.78,137.69,22.09,16.04
2022,FORD WERKE GMBH,PETROL,447,7.89,6.32,1.57,24.88,179.81,143.98,35.83,24.88,7.5,6.21,1.3,20.87,170.93,141.42,29.51,20.87
2022,IVECO,DIESEL,2045,10.69,10.24,0.45,4.36,281.18,269.43,11.74,4.36,10.48,10.38,0.1,0.97,275.76,273.11,2.65,0.97
2022,KIA SLOVAKIA,PETROL,3,8.04,6.48,1.56,24.08,183.22,147.67,35.56,24.08,7.98,6.48,1.49,23.01,181.7,147.71,33.99,23.01
2022,MAN,DIESEL,1179,10.45,9.74,0.71,7.3,275.03,256.31,18.72,7.3,10.3,9.67,0.63,6.52,271.04,254.44,16.59,6.52
2022,MERCEDES-BENZ AG,DIESEL,14108,8.94,8.12,0.83,10.21,235.32,213.52,21.79,10.21,9.18,8.42,0.76,9.01,241.42,221.48,19.94,9.01
2021,MERCEDES-BENZ AG,DIESEL/ELECTRIC,1,4,1.82,2.18,119.42,105.32,48,57.32,119.42,4,1.82,2.18,119.42,105.32,48,57.32,119.42
2021,NISSAN AUTOMOTIVE EUROPE,PETROL,131,7.98,6.28,1.71,27.24,181.89,142.95,38.94,27.24,7.69,6.26,1.42,22.75,175.08,142.64,32.44,22.75
2021,OPEL AUTOMOBILE,PETROL,81,8.15,6.87,1.28,18.68,185.77,156.53,29.24,18.68,8.01,6.88,1.13,16.39,182.47,156.77,25.7,16.39
2021,RENAULT,PETROL/ELECTRIC,16,3.87,1.39,2.49,179.55,88.23,31.56,56.67,179.55,3.76,1.39,2.36,169.46,85.57,31.76,53.81,169.46
2021,SEAT,PETROL,3,7.47,6.95,0.52,7.47,170.17,158.33,11.83,7.47,7.32,6.64,0.68,10.17,166.71,151.32,15.39,10.17
2022,VOLKSWAGEN,DIESEL,7345,8.78,7.89,0.89,11.27,230.96,207.57,23.38,11.27,8.72,7.94,0.78,9.83,229.3,208.78,20.52,9.83
2022,AUTOMOBILES CITROEN,DIESEL,839,7.77,6.84,0.93,13.55,204.4,180.02,24.39,13.55,7.67,6.82,0.86,12.59,201.9,179.32,22.58,12.59
2021,AUTOMOBILES PEUGEOT,DIESEL,732,7.45,6.52,0.94,14.39,196.11,171.44,24.67,14.39,7.15,6.22,0.93,14.96,188.04,163.57,24.47,14.96
